GRP-DC-C-PERTURBED+ISO+SMALL
1.000000
10.9155531440 0.0000000000 0.0000000000 
0.0000000000 10.9155531440 0.0000000000 
0.0000000000 0.0000000000 10.9155531440 
64
carestian or direct (scaled), only the first letter matters
6.8218047349 1.3625595634 6.8248500371	0.01219694 0.05059749 -0.03071631
9.5552623523 4.0927769593 6.8212716317	-0.05843458 -0.00668900 0.02401376
6.8263335413 4.0949607240 9.5536273890	-0.04214225 -0.02241497 0.00159140
9.5564155749 1.3663239325 9.5495402277	-0.03808341 -0.04217393 0.06536720
5.4618881642 5.4571662057 0.0022695129	-0.05074837 -0.00243247 -0.05172231
8.1875161479 8.1864918769 -0.0037744185	0.03337936 -0.02043533 0.03853719
5.4620106814 8.1909666249 2.7253789313	-0.06054454 -0.03538612 0.00709864
8.1878299874 5.4552868866 2.7252656772	-0.00893441 0.02721439 0.01949927
6.8202747911 6.8203439072 1.3625611552	0.06430492 0.04354448 0.01132230
9.5559004176 9.5509033285 1.3646650022	-0.07955463 0.00267103 0.00943030
6.8213750352 9.5498747280 4.0939245386	0.01677479 0.03438125 0.03952936
9.5491251561 6.8222281302 4.0915333569	0.02685774 -0.03356556 -0.00327099
5.4561233292 5.4582262181 5.4589550595	0.01156306 -0.00132017 0.03222828
8.1919726216 8.1854795712 5.4562570011	-0.05857860 0.01243565 -0.00340653
5.4571329329 8.1888698030 8.1858047418	0.04296223 -0.02886693 0.00118919
8.1855408484 5.4560354941 8.1891682034	0.05009520 0.01082430 -0.04913982
6.8269194654 6.8222300467 6.8195770501	-0.04803748 0.00769896 0.03328216
